comments,ratings
quán nằm ngay chung tâm nên dễ đi lại. quán này chuyên đồ ẩm thực singapor. mình hay đến đây để ăn món cháo ếch songapor. thịt ếch nhiều rất ngon cháo chín mịn nên ăn rất thơm. nhân viên phục vụ tốt khiến tôi rất hài lòng khi dến đây. không gian thoáng mát sang trọng. món ăn đa dạng trình bày đẹp mắt. món ăn đa dạng.,10
"vài dòng chia sẻ :
trc tiên lý do tui chọn nhà hàng này vì tui từng ăn qua chi nhánh ở hà nội  rất ngon và ấn tượng hôm nay chi nhánh miền nam cho tôi ấn tượng không kém
1/ không gian : nhà 12 người  mình ăn trên lầu  trên mỗi bàn đều có những miếng vãi trắng che phủ   gắn đèn nhìn hay hay  nhưng gắn đèn quá ngắn nên chỉ có 1 khúc trong khi bàn đến 12 người  đèn chỉ đủ sáng cho 8 người  4 người còn lại ăn trong bóng tối  không gian từ trên xuống dưới đều khá là chật   hôm nay trời có mưa  bật quạt   mở cửa sổ vẫn không thoáng và hơi nóng nhẹ (-)
2/ chất lượng : (-)x10
- bánh xèo : nguội ngắt   bột chua  cực ghê
- bánh khọt : nguội  nước dừa chua chua  cực ghê
- bún chả hà nội : nguội ngắt lun  thịt dai  nước chấm pha như 1 chén nước lọc thêm 1 muỗng nước mắm  cực dỡ
- đậu hủ trứng muối chiên giòn : lớp bột cực dày  dai  không giòn  dính với trứng muối tán chưa đủ nhuyễn cục cục  cực ngán và cực dỡ
- hào nướng : nguội ngắt   tanh  không ngon  được cái bự
- bò bít tết cho mấy bé ăn : cái chảo gang tui không bít có rửa qua hay không hay là chiên quá tay  chảo bị khét  trứng dính các vết cháy đen xì đắng đắng  thịt mỏng  ăn còn tệ hơn mấy quán 30 ngoài đường
- chả giò : nóng hỏi   ăn ổn
- cơm chiên dứa : nóng  ngon
- mì xào udon : nóng  không ngon
- chả cá lã vọng : món kêu đầu  nhưng lại phục vụ chót  bánh tráng bị ĩu  thịt cá mềm ăn được  quá nhìu dầu mỡ
3/ phục vụ : anh đeo kính trên lầu nhanh nhẹn  vui vẻ  chỉ 1 anh này thôi (+)
4/ giá cả : 1 phần 50 - 150  nhìn thì có vẻ khá rẽ so với mặt bằng q1 nhưng 1 phần chĩ có 2 cuốn  or 1 phần chĩ đủ cho 1 người ăn  với chất lượng như trên hoàn toàn không xứng đáng (-) x5
ak : trà đá 20/ ly nhé bà con
5/ giữ xe :10   kế bên đồng dao   cách đó 10m  anh giữ xe nước như là cha thiên hạ nước khó nghe (-)
p/s : vì cái tên ngon nhà hàng của mấy anh chị đã làm cho nhà tui không hề vui trong bữa tiệc đó  nhấn mạnh là không hề vui
tui là người việt  bàn tiệc đó 3tr đấy nhà hàng ngon ạ",3
"ăn ở đây được chắc gần chục năm rồi á. nằm ngay quận 5 là nơi tập trung nhiều đồ ăn uống nên cũng tiện lắm. bột chiên ở đây cục lớn  mình hay gọi phần hai trứng nên là khi bưng ra là cả một dĩa đầy bột  trứng  hành  tóp mỡ... hoành tráng. bột cũng mềm không quá giòn  dĩa nhiều hành. nước tương đu đủ ngon  vừa ăn.

quán khá nhỏ  mua mang đi thì tiện hơn. ngồi cũng hơi chật nhưng có quạt. ở đây có bán thêm há cảo nữa nha. giá rẻ học sinh sinh viên tầm 20-250 thôi à. nói chung là kết chỗ này và chỉ thích ăn ở đây.",8
mì khô gà quay sợi mì to   gà mềm và thơm nữa,10
bánh xèo to thật  khô  ít dầu mỡ nhưng mùi vị rất bình thường  không có gì đặc sắc nổi bật  ăn nhanh ngán. mình có gọi thêm mì xào thập cẩm  xào bằng mì gói  50/ dĩa chủ yếu là gan  ăn ngán vô cùng luôn  quá chát so với chất lượng. gà chiên nước mắm thì đậm  có thể gọi là hơi mặn nhưng ăn cũng được  80/dĩa rất ít  không được bao nhiêu cả. nói chung cái gì cũng ít mà giá đắt đều như nhau. không gian không được sạch sẽ cho lắm. hơi bị thất vọng so với sự tưởng tượng ban đầu. được cái nhân viên nhan nhẹn  nhiệt tình.,4
"tiệm này hơi bị có tiếng ở quận 4 nha. bán bún mắm hải sản tươi nên 1 tô đầy ụ đồ ăn xứng đáng với giá 650/ tô nè.
từ sáng sớm là quán đã bán đắt rồi  khách đều đều. vị bún mắm rất ngon  mình ưng lắm. có thêm chả cá ớt nữa  chả cá ngon miễn bàn. 1 tô được 2 con tôm sú luôn.",10
nhà mình ghé quán vào một tối mưa  mình  đặt  3 phần steak sốt bbq và 1 pizza half & half gà và hải sản  phần steak mình khá hài lòng  bò làm chín vừa đến  không bị khô  không dai  sốt vừa miệng  điểm cộng nữa là phần khoai tây  ở đây là khoai nướng  có tẩm muối  ăn rất ngon  bùi bùi  vừa miệng. pizza ở đây đế dày  được cái là bánh khá mềm  không khô như mấy quán pizza khác  ngồi ăn và ngắm mưa cũng thú vị lắm. nhân viên dễ thương  nhỏ nhẹ  bảo vệ cũng vui vẻ nhiệt tình nữa. hi vọng quán sẽ giữ vững và phát huy  có dịp mình sẽ trở lại ủng hộ tiếp.,10
"-cộng caphe nằm ở trên lầu nên có thể khó tìm xíu nè  chạy xe để ý tấm bảng của cộng ở vỉa hè nha  có mấy chú bảo vệ ngồi đó luôn. 
-điểm rất cộng của cộng này là chỗ giữ xe thoải mái  không tràn ra lề  xe cũng dễ lấy ra vô (dù bảo vệ cũng lấy cho luôn rồi) nhưng bù lại là tiền giữ 50/chiếc nha.
-để lên tới cộng thì có dùng 2 cái cầu thang nè  trên tường có gắn bảng  ngay trước quán cũng có gắn các bảng trang trí.

-cộng caphe này thì chỉ có một tầng nhưng không gian thoải mái  bàn ghế trang trí xinh xắn  có chủ đề rõ ràng  chia nhiều khu vực nhỏ tùy vào số lượng người đi hay lí do đi. đây có nhiều đồ trang trí nên nhìn chung cộng đẹp ấy  cũng có 1 quầy nho nhỏ bán đồ  1 quầy nho nhỏ tự phục vụ giấy nước nữa. ngoài ra thì phong cảnh nhìn ra thẳng hồ con rùa  khá đẹp ^^

-về các món menu đa dạng  mà giá cao ấy  phần nước có 1 xíu hà  vị cũng ổn chứ chưa nổi bật lắm. nhưng mình thích cái là được phục vụ trong ly sứ  ly đẹp chứ không bỏ trong ly nhựa  vừa thẩm mỹ mà vừa tốt cho môi trường :d (cơ mà nước lọc vẫn trong ly nhựa d món trong hình là cacao nóng (tuy lúc ra nó rất nguội) vị tương đương ovaltine  có được cho kèm 1 gói đường nâu nhỏ.

-còn nhân viên thì chắc tại mình vào giấc sớm nên nhân viên chưa có tinh thần  về sau thì vui vẻ với khách hơn ^^ các bạn nhiệt tình với từ tốn với khách  mình xin không dùng ống hút là các bạn cũng không có ống hút vào  chứ qua mấy tiệm khác mình cũng bảo nhân viên vậy nhưng bị lờ :'(


-> kết là mình hài lòng với không gian và phong cảnh của đây nhất. tuy nhiên về giá cả thì khá là cao cho sinh viên cũng như bàn ghế chủ yếu phục vụ cho nhu cầu tán gẫu nên mình thấy nơi đây thích hợp cho những người đang đi làm tới đây thư giãn  trò chuyện hơn.",8
mình vừa  đặt  1 tô bánh đa cua ở quán về nhưng ăn được vài đĩa phát hiện có cánh gián nên đã quyết định bỏ luôn tô không ăn nữa,1
món ăn không quá đặc sắc như mình tưởng tượng...& so với giá...nhưng mấy món ở đây nhìn hấp dẫn cực kì...có thể do cách trang trí đẹp nên khi nhìn vào thì kì vọng nhiều hơn...đặc biệt phục vụ ở đây chu đáo và dễ thương lắm...rất biết để ý khách dù không đứng trực tiếp hay gần bàn...còn có chương trình khuyến mãi giảm giá sinh nhật cũng rất hot...bao nhiêu tuổi giảm bao nhiu phần trăm👍👍👍 2 chị e mình cảm thấy thoải mái khi vào đây lắm,8
